reporting_day,Total_Sales,Walkins_count,Holidays
6/7/2023,41374.8,1131,0
6/6/2023,28303.29,872,0
6/5/2023,13815.08,409,0
6/4/2023,49559.05,1508,0
6/3/2023,92561.58,2399,0
1/23/2022,28019.49,764,0
6/2/2023,56641.39,1440,0
1/26/2022,15847.97,357,0
6/1/2023,26156.72,1040,0
1/27/2022,8605.5,198,0
5/31/2023,18135.7,561,0
1/28/2022,37576.85,954,0
5/30/2023,28669.68,923,0
1/29/2022,56619.14,1488,0
5/29/2023,51269.29,1662,1
1/30/2022,36890.04,1082,0
5/28/2023,76427.65,2129,0
1/31/2022,40.67,2,0
5/27/2023,91428.39,2240,0
2/2/2022,16202.14,391,0
5/26/2023,55165.9,1317,0
2/3/2022,13068.37,295,0
5/25/2023,27351.81,1141,0
2/4/2022,40879.37,1046,0
5/24/2023,17253.48,509,0
2/5/2022,59669.16,1698,0
5/23/2023,20942.94,612,0
2/6/2022,33494.24,951,0
5/22/2023,16188.12,489,0
2/7/2022,0,1,0
5/21/2023,52587.13,1585,0
2/9/2022,12224.81,335,0
5/20/2023,90899.92,2348,0
2/10/2022,11803.79,291,0
5/19/2023,75306.08,2138,0
2/11/2022,43424.89,1111,0
5/18/2023,76215.96,2298,1
2/12/2022,68474.83,1834,0
5/17/2023,45423.24,1191,0
2/13/2022,42352.07,1032,0
5/16/2023,24502.4,743,0
2/14/2022,21.18,36,0
5/15/2023,16902.64,522,0
2/16/2022,13141.86,375,0
5/14/2023,60021.99,1801,0
2/18/2022,20644.88,585,0
5/13/2023,82748.29,2214,0
2/19/2022,68443.23,1915,0
5/12/2023,58029.56,1554,0
2/20/2022,26499.9,833,0
5/11/2023,30031.25,1237,0
2/23/2022,21073.43,536,0
5/10/2023,21438.68,644,0
2/24/2022,10850.97,367,0
5/9/2023,16258.92,508,0
2/25/2022,47915.49,1318,0
5/8/2023,14242.76,456,0
2/26/2022,68967.61,1925,0
5/7/2023,63021.14,1899,0
2/27/2022,49032.71,1640,0
5/6/2023,96580.51,2563,0
