reporting_day,Tem,preciptype,Total_Sales,Total_Sales_Events,Holiday,Visits_count_walkins,Visits_count_Events
3/2/2022,6.4,0,13952.32,493.72,0,401,67
3/3/2022,5.7,0,14980.78,5705.67,0,537,118
3/4/2022,4.1,0,43221.9,1724.29,0,1281,78
3/5/2022,3.5,0,73316.36,3456.55,0,2049,62
3/6/2022,1.8,0,33211.23,780.55,0,1121,17
3/7/2022,2.7,0,9534.43,null,0,267,0
3/8/2022,5.1,0,9516.51,1107.43,0,299,54
3/9/2022,7.7,0,10311.53,7843.25,0,328,332
3/10/2022,9.8,0,15814.22,1143.69,0,593,28
3/11/2022,9.7,0,41799.03,897.47,0,1200,16
3/12/2022,10.9,0,69017.57,4092.04,0,1897,30
3/13/2022,11.6,0,37310.87,2854.43,0,1162,12
3/14/2022,9.6,1,6767.85,null,0,239,0
3/15/2022,8.3,1,11103.09,4554.78,0,300,334
3/16/2022,9,0,13483.6,364.18,0,414,24
3/17/2022,8.9,1,22070.96,2818.95,0,714,102
3/18/2022,7.8,0,42851.96,4298.18,0,1144,59
3/19/2022,8.3,0,62461.95,5940.99,0,1800,140
3/20/2022,7.2,1,35103.53,302.53,0,1095,11
3/21/2022,11.4,1,10382.29,242.1,0,393,7
3/22/2022,13.5,0,11993.15,null,0,376,0
3/23/2022,11.5,0,15463.75,5836.91,0,448,98
3/24/2022,10.7,0,16146.82,4347.4,0,672,96
3/25/2022,10.9,0,44911.44,5332.38,0,1308,86
3/26/2022,11.8,0,71364.21,5932.42,0,1953,57
3/27/2022,11.3,0,40001,1381.24,1,1263,30
3/28/2022,11.1,0,14753.54,1134.45,0,416,150
3/29/2022,8.7,0,10870.77,6227.59,0,396,152
3/30/2022,7.9,0,16108.64,3361.31,0,513,94
3/31/2022,4.8,1,19519.3,4603.49,0,808,131
4/1/2022,0.9,1,39578.87,5714.42,0,1085,133
4/2/2022,2.4,1,71323.9,8431.68,0,1939,148
4/3/2022,2.9,1,30804.89,null,0,1014,0
4/4/2022,3.8,1,11104.2,1751.37,0,294,46
4/5/2022,9.5,1,10822.34,1971.67,0,318,36
4/6/2022,9.5,1,15244.35,11669.77,0,442,175
4/7/2022,9.5,1,14967.37,7291.89,0,595,229
4/8/2022,6.4,1,44885.43,4092.82,0,1256,56
4/9/2022,5.4,1,72677.13,6553.1,0,2006,159
4/10/2022,5.2,1,41186.87,418.97,1,1297,8
4/11/2022,9.7,0,18249.75,1465.44,1,578,35
4/12/2022,15.4,0,19065.85,null,1,675,0
4/13/2022,15.7,1,22369.91,366.72,1,789,14
4/14/2022,14.4,1,32641.72,1051.1,1,1314,48
4/15/2022,9.1,0,64221.22,null,1,2027,0
4/16/2022,10,0,67965.65,2512.49,1,2049,71
4/17/2022,11.8,0,37081.16,290.42,1,1224,8
4/18/2022,13.4,0,32727.26,630.76,1,1217,22
4/19/2022,12.4,0,21498.37,353.03,1,791,8
4/20/2022,12.1,0,23233.68,672.77,1,872,42
4/21/2022,11.9,0,33214.16,827.26,1,1534,25
4/22/2022,12,0,49339.72,5658.64,1,1495,93
4/23/2022,13.5,1,71987.26,6278.09,1,2089,121
4/24/2022,13.1,1,33280.37,719.99,1,1096,20
4/25/2022,9.2,1,10385.17,296.93,0,333,0
4/26/2022,10.2,1,10587.42,2280.96,0,307,75
4/27/2022,10.5,0,12409.92,7609.17,0,405,198
4/28/2022,11.1,0,15125.14,11594.45,0,618,319
4/29/2022,10.6,0,48769.7,18380.44,0,1364,305
4/30/2022,9.6,1,76386.7,4888.55,0,2208,108
5/1/2022,11,0,36022.75,550,1,1169,22
5/2/2022,12.9,0,12651.3,3186.71,0,454,96
5/3/2022,12.8,0,12524.06,1417.86,0,394,63
5/4/2022,12.1,0,16522.02,1209.56,0,433,24
5/5/2022,13.7,1,28974.67,13848.92,0,951,309
5/6/2022,14.5,1,49676.17,11617.17,1,1402,322
5/7/2022,15,1,78665.1,11241.29,0,2081,310
5/8/2022,13.4,1,30881.26,1033.2,1,1014,24
5/9/2022,16.4,0,13595.13,2278.85,1,439,65
5/10/2022,19.4,1,10913.22,2846.06,0,728,137
5/11/2022,19.6,1,16508.65,8321.98,0,563,190
5/12/2022,15.3,1,23213.01,7005.09,0,912,168
5/13/2022,14.2,1,47959.99,8484.73,0,1300,181
5/14/2022,15.5,0,79346.87,5414.94,0,2191,108
5/15/2022,18.7,0,37249.16,1407.42,0,1086,17
5/16/2022,18.5,1,13219.08,6764.95,0,379,104
5/17/2022,17.9,0,16048.68,13161.42,0,484,293
5/18/2022,23.2,0,17859.03,6634.58,0,531,251
5/19/2022,21,1,20898.39,25215.73,0,774,357
5/20/2022,17.2,1,41016.88,16515.53,0,1168,234
5/21/2022,14.3,1,76441.37,2589.39,0,2087,97
5/22/2022,16.3,1,35535.69,1794.01,0,1103,56
5/23/2022,18.6,1,12463.4,4294.36,0,384,120
5/24/2022,13.8,1,13314.61,5685.44,0,421,241
5/25/2022,14.3,0,38694.65,8844.04,0,1226,195
5/26/2022,16.5,1,62967.58,561.81,1,2293,22
5/27/2022,14.8,1,55223.34,4561.45,0,1691,103
5/28/2022,12.4,1,77007.85,3754.92,0,2123,64
5/29/2022,10.1,1,35674.37,396.99,0,1167,12
5/30/2022,11.6,1,12434.32,6251.26,0,405,152
5/31/2022,12.6,1,14172.45,3576.47,0,468,148
6/1/2022,12,1,12435.59,10490.28,0,466,249
6/2/2022,13.6,0,26445.9,17116.26,0,1056,378
6/3/2022,18,0,47542.2,8251.1,0,1338,179
6/4/2022,18.9,0,71572.09,2927.83,0,1985,54
